BCRNAME;abd_ppy_median;abd_ppy_lower;abd_ppy_upper;bird_id
LOWER GREAT LAKES/ ST. LAWRENCE PLAIN;-1.24491934014186;-1.69853682205808;-0.862125429704981;Great Blue Heron
BOREAL SOFTWOOD SHIELD;-1.006955789546;-2.40666234728323;0.15920896691259;Great Blue Heron
BOREAL HARDWOOD TRANSITION;-1.31160676792225;-2.4302233709581;1.41767308542958;Great Egret
BOREAL SOFTWOOD SHIELD;-1.25640374328464;-4.27979961650112;0.365675633478123;Great Egret
LOWER GREAT LAKES/ ST. LAWRENCE PLAIN;-0.748733065163746;-1.52482040423876;0.240626157404725;Great Egret
NA;NA;NA;NA;NA
LOWER GREAT LAKES/ ST. LAWRENCE PLAIN;-0.849699188735131;-1.57076373084417;0.100976473973518;Green Heron
BOREAL HARDWOOD TRANSITION;-0.147311159864985;-2.51918547487269;1.2245131474084;Green Heron
NA;NA;NA;NA;NA
NA;NA;NA;NA;NA
BOREAL SOFTWOOD SHIELD;0.932970480443553;0.220002032610256;2.13426241122837;Turkey Vulture
LOWER GREAT LAKES/ ST. LAWRENCE PLAIN;1.84151516620013;1.35699989877914;2.4698593246648;Turkey Vulture
BOREAL HARDWOOD TRANSITION;1.94791684100611;0.674479894213081;2.49465227896458;Turkey Vulture
TAIGA SHIELD AND HUDSON PLAINS;2.20809527760912;1.80688334569048;2.67210497419758;Turkey Vulture
BOREAL SOFTWOOD SHIELD;-2.43087884208496;-3.20338508469903;-0.672011933616958;Osprey
TAIGA SHIELD AND HUDSON PLAINS;-1.58381137410864;-2.24779773381647;0.230743301491661;Osprey
BOREAL HARDWOOD TRANSITION;-1.10076642788676;-2.5316411295201;-0.203066245319008;Osprey
LOWER GREAT LAKES/ ST. LAWRENCE PLAIN;0.393281824762039;-0.915191097643158;0.952541904732645;Osprey
TAIGA SHIELD AND HUDSON PLAINS;-7.5325135801147;-9.69517012574478;-3.96299620144498;Northern Harrier
BOREAL HARDWOOD TRANSITION;-3.29346699656083;-5.27003168430581;-2.61027363857996;Northern Harrier
LOWER GREAT LAKES/ ST. LAWRENCE PLAIN;-2.69318259434749;-3.98750902704616;-2.24555700940084;Northern Harrier
BOREAL SOFTWOOD SHIELD;-2.63161725450523;-4.06620469869458;-1.68579426731591;Northern Harrier
LOWER GREAT LAKES/ ST. LAWRENCE PLAIN;-8.74010859034472;-9.73188095179139;-6.88362800104273;Sharp-shinned Hawk
TAIGA SHIELD AND HUDSON PLAINS;-7.61913572283252;-11.2322434790844;-1.29539702325559;Sharp-shinned Hawk
BOREAL HARDWOOD TRANSITION;-5.57898191825082;-7.70974939500477;-2.72902786278445;Sharp-shinned Hawk
BOREAL SOFTWOOD SHIELD;-4.31097471694756;-8.12888901969702;-1.55047993976712;Sharp-shinned Hawk
LOWER GREAT LAKES/ ST. LAWRENCE PLAIN;-0.696636678458887;-1.13020562467908;0.856913517023087;Cooper's Hawk
